graph,seed,case,mode,y_measurement_error,response_reconstruction_error,parameter_rmse,active_parameter_mae,median_excitation_condition
10,0,63,single_pwm,0.9365137327048175,0.0007253693787880685,0.027073749163213992,0.05799755175172777,1.5107629337489508e+16
10,0,64,multi_pwm,0.0005902213946995493,0.00034935158745293463,0.0200057466904266,0.04331691773042154,2.4053067927318166
10,0,64,degenerate_pwm,1.1633089913053203,0.0002093231691071989,0.019941844278014507,0.043269694317232654,5815716.737201946
10,0,64,single_pwm,0.9367987256992106,0.0002434223011893518,0.019942173349933548,0.04327895772885392,8.433776438061987e+16
10,0,65,multi_pwm,0.000521564848649218,0.000152664059017105,0.03052485636742745,0.057358021198879415,2.404990945691585
10,0,65,degenerate_pwm,1.1177995088810366,0.00016796590761001002,0.030523411914668966,0.05730172293210384,6922511.0332104685
10,0,65,single_pwm,0.9368437629482748,0.00018303099637903919,0.03052528693486332,0.05733533394711949,3.1416627634584204e+16
10,0,66,multi_pwm,0.0005054079928544705,0.00039535875572799565,0.03718073299271474,0.07551827975171907,2.4043109285527473
10,0,66,degenerate_pwm,1.1646902102762224,0.00012678623222775364,0.03716295346626043,0.07539428527216144,11791880.836942472
10,0,66,single_pwm,0.9368160587366909,0.0002054569785712702,0.03716330313261399,0.0754058154010539,1.915768011021191e+16
10,0,67,multi_pwm,0.0007328919654019948,0.0008162079212039807,0.031196737327235758,0.0701485798909881,2.404833590379309
10,0,67,degenerate_pwm,1.355111312880916,0.00011710699021171788,0.03086743445501111,0.07007736773382162,9413062.964603383
10,0,67,single_pwm,0.9366061146991855,0.00045985146423661497,0.03086785428318917,0.07006966842770064,1.8104911842857068e+16
10,0,68,multi_pwm,0.0005778036924702156,0.00015046885945396694,0.02938937543999272,0.06363780128827232,2.4042454851884476
10,0,68,degenerate_pwm,0.9666406554198401,4.2456651685928266e-05,0.029383931535007048,0.06337746627254455,12475093.189467972
10,0,68,single_pwm,0.9367126461510595,0.00016042727670995967,0.029384505088103564,0.0634556099987234,1.7783459223317418e+16
10,0,69,multi_pwm,0.0005773066276664673,0.0006278319734542171,0.0190829362123123,0.04108439211621983,2.4066222471924457
10,0,69,degenerate_pwm,1.0986875809711714,0.00036377171205472604,0.019032414132336795,0.04074925049225397,4457654.636757643
10,0,69,single_pwm,0.9370370282980159,0.0008619650300032198,0.01903571211434618,0.040756041078052405,1.7862459904520596e+16
10,0,70,multi_pwm,0.0004064918021487264,0.00020097209634560668,0.026370743191972645,0.06080171324202768,2.405831851503455
10,0,70,degenerate_pwm,1.3047783044894203,4.3124157425932115e-05,0.02637156238815933,0.06089964145589209,10941988.71470691
10,0,70,single_pwm,0.9367550160377713,0.00032042656760922553,0.026370985319950115,0.060744098302214916,1.4150330597338836e+16
10,0,71,multi_pwm,0.0007231811905159413,0.0014813504012756368,0.0350663350701816,0.07844814183122335,2.4057938877675205
10,0,71,degenerate_pwm,1.3619429957298792,0.0008788394198538895,0.03505795633115651,0.07824530337951774,9081518.704591839
10,0,71,single_pwm,0.9362177914547971,0.0010442703158567543,0.03505847487542391,0.078291507689805,1.7123310070940518e+16
10,0,72,multi_pwm,0.0005433458943167125,0.0006863194139155774,0.03472987643212047,0.08063039236622967,2.4030625085882273
10,0,72,degenerate_pwm,1.1006667198493134,0.0006057991350659677,0.034603496511589185,0.08164058703394961,7469523.140356712
10,0,72,single_pwm,0.9370736809810892,0.0007143636644739851,0.03460383741752346,0.08159000208853565,1.6239268125758976e+16
10,0,73,multi_pwm,0.00047521360782524423,0.0005689220352006427,0.04196330785180227,0.09316654326537124,2.4032585124697454
10,0,73,degenerate_pwm,1.1967302986527966,0.0010383992186399796,0.04194732508421267,0.09308024952051873,5160821.708109149
10,0,73,single_pwm,0.9370648301515511,0.0010860757467321494,0.04194738419672209,0.09307118253638232,1.6211133014892156e+16
10,0,74,multi_pwm,0.0004849502743854196,0.00036329221517539153,0.04209587489900533,0.09083499592732644,2.4028383380389813
10,0,74,degenerate_pwm,1.2327486990382985,0.000128694478508301,0.04209598013341397,0.09090135071596728,9035436.608023565
10,0,74,single_pwm,0.9366310223615626,0.000219283133112143,0.042095745318976655,0.09096245974306105,2.5320031489370428e+16
10,0,75,multi_pwm,0.0006745686753031089,0.0002867355912200441,0.033319275073935194,0.07786519983540108,2.4048335540889054
10,0,75,degenerate_pwm,1.144151951634462,0.00011323857327669455,0.03331172124244387,0.07798694238675519,11462963.75805967
10,0,75,single_pwm,0.9365170454309373,0.0005674818815685636,0.03331454931646154,0.0780862836052921,1.6017006180458804e+16
10,0,76,multi_pwm,0.0006460304830282397,0.00046995625308650504,0.03422152671443985,0.07050583417123599,2.4061664911374505
