sections_per_winding,frequency_hz,global_relative_error,Re_Y11_S,Im_Y11_S
4,354813.389233576,2.0561336939034556e-15,0.0013966513336483716,-0.06267796841291357
4,375837.4042884443,2.0561336939034556e-15,0.0012448348787719296,-0.05916394553267912
4,398107.1705534969,2.0561336939034556e-15,0.001109514330516542,-0.05584532751331689
4,421696.5034285823,2.0561336939034556e-15,0.0009888986507471127,-0.05271122537903011
4,446683.5921509635,2.0561336939034556e-15,0.000881390984014652,-0.0497513441754468
4,473151.2589614813,2.0561336939034556e-15,0.0007855676617971163,-0.04695595162724353
4,501187.2336272725,2.0561336939034556e-15,0.000700159465076941,-0.04431584822089352
4,530884.4442309879,2.0561336939034556e-15,0.0006240349047793503,-0.041822338682784926
4,562341.3251903491,2.0561336939034556e-15,0.0005561853046984269,-0.039467204816652696
4,595662.1435290109,2.0561336939034556e-15,0.0004957114941253424,-0.03724267965954503
4,630957.3444801943,2.0561336939034556e-15,0.0004418119376952273,-0.0351414229121533
4,668343.9175686149,2.0561336939034556e-15,0.00039377214819921,-0.03315649759699835
4,707945.7843841374,2.0561336939034556e-15,0.00035095524446382073,-0.03128134789650905
4,749894.2093324559,2.0561336939034556e-15,0.0003127935310630115,-0.029509778122289998
4,794328.2347242822,2.0561336939034556e-15,0.00027878098976475405,-0.027835932766687888
4,841395.1416451965,2.0561336939034556e-15,0.0002484665843767249,-0.026254277588050795
4,891250.9381337459,2.0561336939034556e-15,0.0002214482911821699,-0.024759581681703224
4,944060.8762859226,2.0561336939034556e-15,0.0001973677765731974,-0.023346900489573524
4,1000000.0,2.0561336939034556e-15,0.00017590565190824772,-0.02201155970252988
4,1059253.7251772897,2.0561336939034556e-15,0.0001567772431460482,-0.020749140010757727
4,1122018.4543019652,2.0561336939034556e-15,0.0001397288195328412,-0.019555462658900707
4,1188502.2274370189,2.0561336939034556e-15,0.00012453423162648843,-0.01842657576413871
4,1258925.411794166,2.0561336939034556e-15,0.00011099191430563539,-0.017358741356880536
4,1333521.432163324,2.0561336939034556e-15,9.892221520192528e-05,-0.01634842310525908
4,1412537.5446227554,2.0561336939034556e-15,8.816501326904664e-05,-0.015392274686121879
4,1496235.6560944358,2.0561336939034556e-15,7.857759601874237e-05,-0.01448712876668648
4,1584893.1924611141,2.0561336939034556e-15,7.003276735952134e-05,-0.013629986562471816
4,1678804.018122559,2.0561336939034556e-15,6.241716101263573e-05,-0.012818007938495607
4,1778279.410038923,2.0561336939034556e-15,5.562973719090724e-05,-0.012048502022036778
4,1883649.089489802,2.0561336939034556e-15,4.9580442644520236e-05,-0.01131891829649756
4,1995262.3149688828,2.0561336939034556e-15,4.418901633511114e-05,-0.010626838147028778
4,2113489.0398366475,2.0561336939034556e-15,3.9383924923632515e-05,-0.00996996682960926
4,2238721.138568338,2.0561336939034556e-15,3.510141397348795e-05,-0.009346125836162567
4,2371373.7056616554,2.0561336939034556e-15,3.1284662300890204e-05,-0.008753245629040306
4,2511886.4315095823,2.0561336939034556e-15,2.788302826923616e-05,-0.008189358718766894
4,2660725.059798814,2.0561336939034556e-15,2.485137804150207e-05,-0.007652593059291231
4,2818382.931264455,2.0561336939034556e-15,2.2149486890235412e-05,-0.0071411657350752
4,2985382.618917957,2.0561336939034556e-15,1.9741505632990853e-05,-0.0066533769141051
4,3162277.6601683795,2.0561336939034556e-15,1.7595485124876668e-05,-0.00618760404024192
4,3349654.3915782794,2.0561336939034556e-15,1.5682952510740017e-05,-0.0057422962371084935
4,3548133.8923357604,2.0561336939034556e-15,1.3978533627805756e-05,-0.005315968893766239
4,3758374.0428844434,2.0561336939034556e-15,1.2459616564688286e-05,-0.004907198399512654
4,3981071.7055349695,2.0561336939034556e-15,1.1106051933162426e-05,-0.004514616990871509
4,4216965.034285823,2.0561336939034556e-15,9.899885902903792e-06,-0.004136907667735459
4,4466835.921509635,2.0561336939034556e-15,8.825122494155713e-06,-0.0037727991268937736
4,4731512.589614812,2.0561336939034556e-15,7.86751202646269e-06,-0.003421060648706016
4,5011872.336272725,2.0561336939034556e-15,7.014362991165213e-06,-0.0030804968547665512
4,5308844.442309879,2.0561336939034556e-15,6.25437496030207e-06,-0.002749942228431085
4,5623413.251903491,2.0561336939034556e-15,5.5774904762702596e-06,-0.0024282552519835875
4,5956621.435290109,2.0561336939034556e-15,4.974764200765233e-06,-0.002114311957544489
4,6309573.444801942,2.0561336939034556e-15,4.438247961914135e-06,-0.001806998603079018
4,6683439.175686149,2.0561336939034556e-15,3.960890763710225e-06,-0.0015052030526647442
4,7079457.843841373,2.0561336939034556e-15,3.536453378274127e-06,-0.0012078042319234802
4,7498942.093324558,2.0561336939034556e-15,3.1594379491073836e-06,-0.0009136586934403966
4,7943282.347242822,2.0561336939034556e-15,2.8250343188953962e-06,-0.0006215827696688988
4,8413951.416451965,2.0561336939034556e-15,2.5290870051329455e-06,-0.0003303278377625313
4,8912509.381337458,2.0561336939034556e-15,2.2680908024112877e-06,-3.8544533074377774e-05
4,9440608.762859225,2.0561336939034556e-15,2.0392308915124577e-06,0.00025527136258067865
4,10000000.0,2.0561336939034556e-15,1.8404996782424703e-06,0.0005528646367887052
8,1000.0,4.952868317900956e-15,2.746131768857879,-0.5222841510115392
8,1059.2537251772887,4.952868317900956e-15,2.7397043916274555,-0.5320398442838119
8,1122.018454301963,4.952868317900956e-15,2.732803549560707,-0.5433773139192626
8,1188.502227437019,4.952868317900956e-15,2.7253463599057213,-0.5563068617888067
8,1258.9254117941675,4.952868317900956e-15,2.7172445676440304,-0.5708384262908499
8,1333.521432163324,4.952868317900956e-15,2.7084038867293643,-0.5869808200348485
8,1412.537544622754,4.952868317900956e-15,2.6987233733475477,-0.6047408309187476
8,1496.235656094433,4.952868317900956e-15,2.688094847581006,-0.6241221733559277
8,1584.893192461114,4.952868317900956e-15,2.676402384640234,-0.6451242765725063
8,1678.8040181225606,4.952868317900956e-15,2.6635219023214347,-0.667740897943192
8,1778.2794100389228,4.952868317900956e-15,2.6493208775218875,-0.6919585515516484
8,1883.6490894898002,4.952868317900956e-15,2.6336582313913794,-0.7177547458864755
8,1995.2623149688789,4.952868317900956e-15,2.6163844298141967,-0.7450960302009975
8,2113.489039836648,4.952868317900956e-15,2.5973418530682792,-0.7739358569870092
8,2238.72113856834,4.952868317900956e-15,2.576365495196221,-0.8042122786563333
8,2371.373705661655,4.952868317900956e-15,2.5532840591422,-0.835845510257764
8,2511.88643150958,4.952868317900956e-15,2.527921517122458,-0.8687354071413314
8,2660.7250597988086,4.952868317900956e-15,2.500099205822764,-0.9027589269696623
8,2818.382931264455,4.952868317900956e-15,2.4696385214327137,-0.9377676690998697
8,2985.3826189179604,4.952868317900956e-15,2.4363642686343354,-0.9735856103924654
8,3162.2776601683795,4.952868317900956e-15,2.4001086988018585,-1.0100071836115667
8,3349.654391578276,4.952868317900956e-15,2.360716244300498,-1.0467958706871698
8,3548.133892335753,4.952868317900956e-15,2.318048916774522,-1.0836835053122602
8,3758.374042884443,4.952868317900956e-15,2.27199228734068,-1.1203704939145638
8,3981.0717055349733,4.952868317900956e-15,2.2224619065070925,-1.1565271665744312
8,4216.965034285822,4.952868317900956e-15,2.1694099539294704,-1.1917964552375544
8,4466.835921509631,4.952868317900956e-15,2.1128318372967456,-1.225798061145639
8,4731.512589614803,4.952868317900956e-15,2.0527723923744468,-1.25813421343625
8,5011.872336272725,4.952868317900956e-15,1.9893312811559518,-1.2883970351091065
8,5308.8444423098845,4.952868317900956e-15,1.9226671521196508,-1.3161774229207843
8,5623.413251903491,4.952868317900956e-15,1.853000125816667,-1.34107522014655
8,5956.621435290103,4.952868317900956e-15,1.780612208897928,-1.362710325760247
8,6309.57344480193,4.952868317900956e-15,1.7058453251692143,-1.3807342546067218
8,6683.439175686149,4.952868317900956e-15,1.6290967828521232,-1.394841557336541
8,7079.457843841381,4.952868317900956e-15,1.5508121657063967,-1.404780443312518
8,7498.942093324558,4.952868317900956e-15,1.4714758278306412,-1.410361938800996
8,7943.282347242814,4.952868317900956e-15,1.3915993677832041,-1.4114669652355296
8,8413.951416451948,4.952868317900956e-15,1.3117086339098627,-1.4080508387007171
8,8912.509381337459,4.952868317900956e-15,1.2323299466530635,-1.4001448632146527
8,9440.608762859236,4.952868317900956e-15,1.153976296874685,-1.3878548993810043
8,10000.0,4.952868317900956e-15,1.0771342815313307,-1.3713570128123926
8,10592.537251772897,4.952868317900956e-15,1.0022524690748238,-1.3508905173434336
8,11220.18454301963,4.952868317900956e-15,0.9297317564320995,-1.326748902455968
8,11885.022274370189,4.952868317900956e-15,0.8599181052160478,-1.2992692545408282
8,12589.254117941662,4.952868317900956e-15,0.7930978495406098,-1.2688208382135073
8,13335.21432163324,4.952868317900956e-15,0.7294955747904126,-1.2357934968290714
8,14125.375446227554,4.952868317900956e-15,0.6692743962435443,-1.200586468855768
8,14962.356560944329,4.952868317900956e-15,0.6125383331883931,-1.1635981130130517
8,15848.93192461114,4.952868317900956e-15,0.5593363857794946,-1.1252169070573554
8,16788.040181225588,4.952868317900956e-15,0.509667879226579,-1.0858139496633967
8,17782.794100389227,4.952868317900956e-15,0.46348863835739973,-1.0457370663883143
8,18836.49089489802,4.952868317900956e-15,0.42071758682372984,-1.0053065097196061
8,19952.62314968879,4.952868317900956e-15,0.3812434192246945,-0.96481215585416
8,21134.890398366475,4.952868317900956e-15,0.34493106121369355,-0.9245120392685777
8,22387.21138568338,4.952868317900956e-15,0.31162770349633906,-0.8846320292555365
8,23713.737056616552,4.952868317900956e-15,0.2811682637184161,-0.8453664371709326
8,25118.864315095823,4.952868317900956e-15,0.25338019094530795,-0.8068793447635851
8,26607.250597988084,4.952868317900956e-15,0.2280875781254763,-0.7693064579156594
8,28183.82931264455,4.952868317900956e-15,0.20511458766213497,-0.7327573119794106
8,29853.82618917957,4.952868317900956e-15,0.1842882242730588,-0.6973176808732386
8,31622.776601683792,4.952868317900956e-15,0.16544050878652294,-0.6630520692426991
8,33496.54391578279,4.952868317900956e-15,0.1484101179195476,-0.6300061931734611
8,35481.33892335753,4.952868317900956e-15,0.13304356007484786,-0.5982093787877876
8,37583.74042884443,4.952868317900956e-15,0.11919595738258737,-0.5676768288039238
8,39810.71705534969,4.952868317900956e-15,0.10673150103550721,-0.5384117244977178
8,42169.65034285822,4.952868317900956e-15,0.09552364162074367,-0.5104071445171261
8,44668.359215096345,4.952868317900956e-15,0.08545506959076099,-0.48364779291435056
8,47315.12589614803,4.952868317900956e-15,0.07641753395628981,-0.45811153694397255
8,50118.72336272725,4.952868317900956e-15,0.06831154023836128,-0.43377076104709644
8,53088.444423098794,4.952868317900956e-15,0.06104596202618762,-0.4105935474175828
8,56234.13251903491,4.952868317900956e-15,0.05453759436199346,-0.38854469601816977
8,59566.214352901094,4.952868317900956e-15,0.0487106717210104,-0.36758659822685225
8,63095.7344480193,4.952868317900956e-15,0.04349636861137851,-0.3476799787413203
8,66834.39175686149,4.952868317900956e-15,0.038832296772114416,-0.32878452019508586
8,70794.57843841374,4.952868317900956e-15,0.03466200955418092,-0.3108593843377543
8,74989.42093324558,4.952868317900956e-15,0.030934521269007365,-0.2938636427557446
8,79432.82347242821,4.952868317900956e-15,0.027603847011358373,-0.2777566290745348
8,84139.51416451948,4.952868317900956e-15,0.02462856663870716,-0.2624982234751485
8,89125.0938133746,4.952868317900956e-15,0.021971415149264317,-0.24804907923696318
