graph,seed,case,noise,method,response_error,full_parameter_rmse,active_parameter_mae,identifiable_coordinate_error,estimate_norm
10,0,7,0.01,group5,0.1380461497924279,0.030603644963315395,0.052270896484796776,2.4133092735555883,0.1231876143595891
10,0,7,0.01,fisher3,0.1071610867476579,0.030454662128761148,0.050521942567430936,2.4443006769804008,0.1257752072769271
10,0,7,0.01,fisher8,0.10716044510976173,0.03045451641072328,0.0505165692892789,2.4443006769804008,0.12577523585603567
10,0,7,0.01,oracle8,0.10359373647424523,0.04627518758558779,0.09944155559365978,2.165683240875854,0.29117904561592217
10,0,8,0.001,full56,0.03063506965063312,0.02493297872480145,0.05664576208014119,0.35228092596461114,0.043816805492153964
10,0,8,0.001,group5,0.03004677594010768,0.024798819907755665,0.05633827845660195,0.30889876994883003,0.045219126614402146
10,0,8,0.001,fisher3,0.02983490479003406,0.024903968033117733,0.05652437104003981,0.3096008394173507,0.04469980087385282
10,0,8,0.001,fisher8,0.02983488286494798,0.02490395343302843,0.05652429742284086,0.3096008394173511,0.044699801458666685
10,0,8,0.001,oracle8,0.021106014331665614,0.021364857732251483,0.04615426454412302,0.29199030577845236,0.11594506305552824
10,0,8,0.003,full56,0.021670617812000744,0.024908758067123102,0.054548883285838345,0.3170688208732739,0.06585996443822034
10,0,8,0.003,group5,0.02071553867175587,0.024895486710860417,0.054030194274482815,0.4859813969104884,0.07387911075344841
10,0,8,0.003,fisher3,0.02227181678811285,0.02501863723761764,0.05415410416373182,0.455739118367178,0.07184411792850283
10,0,8,0.003,fisher8,0.02227169954195205,0.025018451789703727,0.05415314501197603,0.45573911836717707,0.07184412215068944
10,0,8,0.003,oracle8,0.02279610818946106,0.021961702698998817,0.048754324069839726,0.36299130929585294,0.15335434191353403
10,0,8,0.01,full56,0.10080946317371962,0.025083458444828476,0.054262461638628606,0.5207011811188759,0.07255450798994355
10,0,8,0.01,group5,0.09870503024049765,0.025184589081991143,0.0537065381653646,0.7245654926306078,0.08300137737486508
10,0,8,0.01,fisher3,0.09987701578244719,0.025286859353063292,0.05378648092426783,0.6865287963963941,0.08037901419738529
10,0,8,0.01,fisher8,0.09987680169956338,0.025287069216829473,0.053786971427914505,0.6865287963963943,0.08037901911312315
