forward_scenario,load_w,phase_deg,temperature_c,grounding,added_cps_pf,repeat,true_rs_ohm,true_cps_pf,estimated_rs_ohm,estimated_ls_uh,estimated_cps_pf,cps_error_pct,true_ips_rms_a,predicted_ips_rms_a,total_capacitive_source_rms_a,cps_only_total_source_error_pct,valid_frequency_count,median_condition,physics_fit_cost
matched_switching,750.0,18.0,25.0,baseline,5.0,1,0.095,33.36,0.08719583713879699,96.00958439472446,33.2655113835898,-0.28323925782434,0.03059794204681358,0.030511276662850664,0.013194241747683943,131.246912451081,110,2.578582217767956,8.3202514102184e-05
matched_switching,750.0,18.0,25.0,baseline,5.0,2,0.095,33.36,0.1000793266299922,95.99352896930252,33.43006236408012,0.21001907697877123,0.03059794204681358,0.030662203562274795,0.013194241747683943,132.39079705097186,112,2.5926842583632768,5.838395294100812e-05
matched_switching,750.0,18.0,25.0,baseline,10.0,0,0.095,38.36,0.11563447405911532,96.00273585152793,38.391607112142765,0.08239601705621757,0.03518396453584439,0.03521295472126439,0.01696286781204609,107.58845209097309,110,2.5791310717326716,5.776350904541326e-05
matched_switching,750.0,18.0,25.0,baseline,10.0,1,0.095,38.36,0.08998325841928691,96.00038296131125,38.30961112495722,-0.13135785986125081,0.03518396453584439,0.03513774763301576,0.01696286781204609,107.14508904009072,112,2.593763239277843,4.7791024246202096e-05
matched_switching,750.0,18.0,25.0,baseline,10.0,2,0.095,38.36,0.10815784253097452,96.00687797590794,38.27799026841891,-0.21378970693713537,0.03518396453584439,0.035108744841174336,0.01696286781204609,106.97411092387367,110,2.5786185320051604,6.844938711558025e-05
matched_switching,750.0,18.0,25.0,asymmetric,0.0,0,0.095,28.36,0.09438448560948759,96.0144942942961,28.196883906744723,-0.575162529108877,0.02601191955778277,0.02586230874338446,0.056658646240710285,54.3541710588879,111,2.592586521612096,7.092274033351096e-05
matched_switching,750.0,18.0,25.0,asymmetric,0.0,1,0.095,28.36,0.0936375767567233,96.00439841184357,28.295953036145928,-0.22583555660815455,0.02601191955778277,0.025953175394464983,0.056658646240710285,54.193795446144726,111,2.5921820599228154,0.00010136202420720485
matched_switching,750.0,18.0,25.0,asymmetric,0.0,2,0.095,28.36,0.09250670261033297,96.00545766124465,28.29284307760794,-0.23680155991558535,0.02601191955778277,0.025950322926505953,0.056658646240710285,54.198829925696025,110,2.5794374803332802,7.242674712988e-05
matched_switching,750.0,18.0,25.0,asymmetric,5.0,0,0.095,33.36,0.08473887047314076,95.9978018800904,33.352144968111254,-0.023546258659315058,0.03059794204681358,0.030590737376234807,0.05284206927255409,42.10912290650305,111,2.591493130081987,7.251616614302963e-05
matched_switching,750.0,18.0,25.0,asymmetric,5.0,1,0.095,33.36,0.09324936281007894,96.00877444665792,33.267570304594706,-0.27706743227007224,0.03059794204681358,0.03051316511445699,0.05284206927255409,42.25592310347812,111,2.5930192459325263,5.962305011575741e-05
matched_switching,750.0,18.0,25.0,asymmetric,5.0,2,0.095,33.36,0.1021552917828281,96.00488230182691,33.300437189946564,-0.17854559368537373,0.03059794204681358,0.03054331076953059,0.05284206927255409,42.19887451418442,111,2.5924589410001158,7.745728063568e-05
matched_switching,750.0,18.0,25.0,asymmetric,10.0,0,0.095,38.36,0.10379538762915937,95.99635980852386,38.3652810195302,0.013766995647039424,0.03518396453584439,0.035188808310710494,0.049157192563455555,28.415748590023096,110,2.579447011263005,4.991399884051161e-05
matched_switching,750.0,18.0,25.0,asymmetric,10.0,1,0.095,38.36,0.0920500691543527,95.99772167614148,38.41356657651116,0.13964175315734986,0.03518396453584439,0.035233096040752504,0.049157192563455555,28.325654490395987,110,2.5789445677429303,4.43343221972361e-05
matched_switching,750.0,18.0,25.0,asymmetric,10.0,2,0.095,38.36,0.09266200232638397,95.99089188486964,38.47374322505913,0.2965151852427932,0.03518396453584439,0.035288290333463604,0.049157192563455555,28.213373276126372,110,2.5794700570219504,5.8476060703076084e-05
matched_switching,750.0,18.0,80.0,baseline,0.0,0,0.11553425,28.36,0.11405106021616271,95.9958366781949,28.406663274223664,0.1645390487435287,0.02601191955778277,0.02605471932278308,0.01012424568664229,157.34973378964034,111,2.591245723797115,7.862349573052363e-05
matched_switching,750.0,18.0,80.0,baseline,0.0,1,0.11553425,28.36,0.11391310926108981,96.00579715235445,28.248760717833168,-0.3922400640579365,0.02601191955778277,0.025909890387846624,0.01012424568664229,155.9192179821512,111,2.591654832364232,5.5194726738538225e-05
matched_switching,750.0,18.0,80.0,baseline,0.0,2,0.11553425,28.36,0.11745439552568433,95.99442008662558,28.431867458441403,0.2534113485239913,0.02601191955778277,0.02607783671391112,0.01012424568664229,157.57807071313619,111,2.589511837346534,6.714981828605303e-05
matched_switching,750.0,18.0,80.0,baseline,5.0,0,0.11553425,33.36,0.12338879152530055,95.99269120098658,33.419781935657646,0.17920244501690905,0.03059794204681358,0.03065277430708633,0.013194241747683943,132.3193321243108,111,2.5908384599409775,6.720953621758062e-05
matched_switching,750.0,18.0,80.0,baseline,5.0,1,0.11553425,33.36,0.11952953650716865,95.999656882336,33.30422344290852,-0.16719591454281058,0.03059794204681358,0.030546783537777133,0.013194241747683943,131.51602132149185,111,2.5914211347539733,7.202541100707564e-05
matched_switching,750.0,18.0,80.0,baseline,5.0,2,0.11553425,33.36,0.10268646142393968,95.98995343829446,33.368005940532676,0.023998622699864847,0.03059794204681358,0.03060528513147932,0.013194241747683943,131.95940863256985,110,2.5785504183678163,5.0123118034187975e-05
matched_switching,750.0,18.0,80.0,baseline,10.0,0,0.11553425,38.36,0.12452104219863375,95.9974211057517,38.37565041726207,0.04079879369675924,0.03518396453584439,0.03519831916894971,0.01696286781204609,107.50217215012317,110,2.578755913614784,6.428310991475535e-05
matched_switching,750.0,18.0,80.0,baseline,10.0,1,0.11553425,38.36,0.11181433231706676,95.9899025414347,38.468760965581396,0.2835270218493176,0.03518396453584439,0.03528372058266139,0.01696286781204609,108.00563308997104,110,2.5784335443190507,5.988266861253844e-05
matched_switching,750.0,18.0,80.0,baseline,10.0,2,0.11553425,38.36,0.11503172032147009,96.00496591967054,38.30378510846913,-0.14654559835992254,0.03518396453584439,0.035132403984488594,0.01696286781204609,107.11358700525571,111,2.592390076068994,5.267906842289685e-05
matched_switching,750.0,18.0,80.0,asymmetric,0.0,0,0.11553425,28.36,0.12142676617737116,95.98688334465598,28.561835648893883,0.7116912866497997,0.02601191955778277,0.026197044122765866,0.056658646240710285,53.76337794681934,111,2.58968288497403,7.482654065315727e-05
matched_switching,750.0,18.0,80.0,asymmetric,0.0,1,0.11553425,28.36,0.11318515158810628,95.99289086316678,28.40633521225074,0.16338227168808891,0.02601191955778277,0.02605441842286595,0.056658646240710285,54.01510598722112,111,2.5908417699579167,7.198145097210275e-05
matched_switching,750.0,18.0,80.0,asymmetric,0.0,2,0.11553425,28.36,0.11325923672578199,96.0069858059652,28.313601649443598,-0.16360490323131552,0.02601191955778277,0.02596936278196165,0.056658646240710285,54.16522542449632,111,2.5916388382474684,9.065474609400577e-05
matched_switching,750.0,18.0,80.0,asymmetric,5.0,0,0.11553425,33.36,0.11393400814894501,96.00533537319619,33.30858544999052,-0.15412035374546346,0.03059794204681358,0.030550784390292195,0.05284206927255409,42.18473119832928,111,2.591635852226397,5.894039816524112e-05
matched_switching,750.0,18.0,80.0,asymmetric,5.0,1,0.11553425,33.36,0.1183556351384115,95.9947706575539,33.39503281112167,0.10501442182755409,0.03059794204681358,0.030630074298745168,0.05284206927255409,42.03468047256378,111,2.5923900331251453,7.18370383765789e-05
matched_switching,750.0,18.0,80.0,asymmetric,5.0,2,0.11553425,33.36,0.12682179472598326,95.9996034573742,33.36067796056071,0.0020322558774104396,0.03059794204681358,0.030598563875289194,0.05284206927255409,42.09431179262706,111,2.5923233658326317,4.984103386645625e-05
