budget,case,n,method,port_response_mae,node_voltage_mae_norm,displacement_current_error_percent,peak_voltage_error_percent,peak_location_hit,peak_location_distance_norm,edge_retention
0.6,12,4,learned_gate,3.4742029043783225e-07,1.1648173662827192e-08,7.719126981729524,2.7655268415271115e-06,1.0,0.0,0.625
0.6,13,6,distance,1.064922577521596e-06,5.558589047816846e-08,14.85563200287023,7.272844756472659e-06,1.0,0.0,0.611111111111111
0.6,13,6,magnitude,1.423504862990583e-06,5.673231261170655e-08,17.83589475216627,7.71398997068575e-06,1.0,0.0,0.611111111111111
0.6,13,6,fisher_proxy,7.136159340574479e-07,7.386523031670721e-08,15.192775245768106,6.353962897299703e-06,1.0,0.0,0.611111111111111
0.6,13,6,oracle_edge_current,7.667490311707297e-07,5.817195863081891e-08,13.751919765775275,5.812467801676826e-06,1.0,0.0,0.611111111111111
0.6,13,6,learned_gate,9.369348899162846e-07,6.630934269040104e-08,14.486130587020462,8.513478230205331e-06,1.0,0.0,0.611111111111111
0.6,14,8,distance,1.779930404818599e-06,9.011396868601876e-08,24.66841814858796,1.1059485455164674e-05,1.0,0.0,0.59375
0.6,14,8,magnitude,1.8467288550913508e-06,8.262047295574973e-08,24.31223014138043,1.1072292551167387e-05,1.0,0.0,0.59375
0.6,14,8,fisher_proxy,8.361240776538307e-07,8.110495113756393e-08,17.509619601091995,5.747654065092866e-06,1.0,0.0,0.59375
0.6,14,8,oracle_edge_current,8.615414118178418e-07,7.772198244680239e-08,17.239196811094608,5.744052678098591e-06,1.0,0.0,0.59375
0.6,14,8,learned_gate,1.0163802369830832e-06,7.62380885734917e-08,17.763533546238488,6.1933320996258686e-06,1.0,0.0,0.59375
0.6,15,4,distance,6.236849893102395e-07,3.16328874136371e-08,8.705164969969044,6.030984959953296e-06,1.0,0.0,0.625
0.6,15,4,magnitude,6.236849893102395e-07,3.16328874136371e-08,8.705164969969044,6.030984959953296e-06,1.0,0.0,0.625
0.6,15,4,fisher_proxy,6.031474999959596e-07,7.13212917950164e-08,15.119922312862306,8.686920357878418e-06,1.0,0.0,0.625
