case,n,method,port_response_mae,node_voltage_mae_norm,displacement_current_error_percent,peak_voltage_error_percent,peak_location_hit,peak_location_distance_norm,edge_retention
38,8,learned_gate,1.4535319619690793e-06,1.1225146267124277e-07,21.76090742761287,1.0011097433856632e-05,1.0,0.0,0.40625
39,4,distance,4.205343074895699e-06,1.749776232906442e-07,40.26232804311552,4.575802861028654e-05,1.0,0.0,0.375
39,4,magnitude,3.407978391455878e-06,1.297459138089158e-07,33.49389642497687,2.998567958830212e-05,1.0,0.0,0.375
39,4,fisher_proxy,2.212969585031234e-06,1.690873044309422e-07,29.324642589111377,2.8910133906433152e-05,1.0,0.0,0.375
39,4,oracle_edge_current,2.212969585031234e-06,1.690873044309422e-07,29.324642589111377,2.8910133906433152e-05,1.0,0.0,0.375
39,4,learned_gate,2.212969585031234e-06,1.690873044309422e-07,29.324642589111377,2.8910133906433152e-05,1.0,0.0,0.375
40,6,distance,4.136505968985992e-06,2.267365120015298e-07,37.70081463246836,3.2628529153669016e-05,1.0,0.0,0.38888888888888884
40,6,magnitude,4.067993624260434e-06,2.192842898731218e-07,36.80920862682812,3.209456972604667e-05,1.0,0.0,0.38888888888888884
40,6,fisher_proxy,2.538583405425031e-06,2.1687552057131284e-07,29.596347168976,2.5659109928336415e-05,1.0,0.0,0.38888888888888884
40,6,oracle_edge_current,2.538583405425031e-06,2.1687552057131284e-07,29.596347168976,2.5659109928336415e-05,1.0,0.0,0.38888888888888884
40,6,learned_gate,2.538583405425031e-06,2.1687552057131284e-07,29.596347168976,2.5659109928336415e-05,1.0,0.0,0.38888888888888884
41,8,distance,5.5458375605334e-07,3.479535592559278e-08,27.192941753908574,3.854303511059518e-06,1.0,0.0,0.40625
41,8,magnitude,5.704807932535582e-07,2.8995762850566624e-08,26.156036784604193,3.2421165563657854e-06,1.0,0.0,0.40625
41,8,fisher_proxy,3.632374975704363e-07,3.9338631435987046e-08,25.76241390133306,2.90940988918059e-06,1.0,0.0,0.40625
41,8,oracle_edge_current,3.788073265263587e-07,2.833726632812867e-08,21.675712045315663,2.6094519874159882e-06,1.0,0.0,0.40625
41,8,learned_gate,3.788073265263587e-07,2.833726632812867e-08,21.675712045315663,2.6094519874159882e-06,1.0,0.0,0.40625
42,4,distance,2.3343538954526584e-06,8.437347158896531e-08,44.31607489829501,2.283911522525529e-05,1.0,0.0,0.375
42,4,magnitude,2.0028881633860305e-06,6.558382474986064e-08,38.32387013662683,1.5340780158539312e-05,1.0,0.0,0.375
42,4,fisher_proxy,1.2486864997440783e-06,8.254233169095967e-08,32.033139126948754,1.4632144036589135e-05,1.0,0.0,0.375
42,4,oracle_edge_current,1.2486864997440783e-06,8.254233169095967e-08,32.033139126948754,1.4632144036589135e-05,1.0,0.0,0.375
42,4,learned_gate,1.2486864997440783e-06,8.254233169095967e-08,32.033139126948754,1.4632144036589135e-05,1.0,0.0,0.375
43,6,distance,1.0178435040530953e-06,6.137227577789582e-08,29.56168570415219,8.324003551109012e-06,1.0,0.0,0.38888888888888884
43,6,magnitude,1.004340013225265e-06,6.088214735917121e-08,29.303769385275334,8.295881275961599e-06,1.0,0.0,0.38888888888888884
43,6,fisher_proxy,7.04191117846531e-07,7.006373615502469e-08,28.361874058968063,7.408594087663046e-06,1.0,0.0,0.38888888888888884
43,6,oracle_edge_current,7.448347489615962e-07,5.730465031548158e-08,25.893815749567615,6.715665993993194e-06,1.0,0.0,0.38888888888888884
43,6,learned_gate,7.448347489615962e-07,5.730465031548158e-08,25.893815749567615,6.715665993993194e-06,1.0,0.0,0.38888888888888884
44,8,distance,2.1573614796735936e-06,1.257419664056497e-07,35.046430714495905,1.4209060802271052e-05,1.0,0.0,0.40625
44,8,magnitude,2.227537941921579e-06,1.1514580206027643e-07,34.772115377494515,1.2238512318588496e-05,1.0,0.0,0.40625
