frequency_hz,Y11_real_s,Y11_imag_s,Y12_real_s,Y12_imag_s,Y22_real_s,Y22_imag_s
117653.3568690731,0.012650729821211543,-0.1885184127918702,0.05059622379379894,-0.742013252967517,0.2024116770592459,-3.016781139861454
121157.30725189103,0.011932673313019074,-0.18311162048866225,0.0477243794341763,-0.720742948533232,0.19092277292332183,-2.930286953067135
124765.61222867896,0.011255207878345552,-0.177857187765196,0.04501487761122207,-0.7000720020160128,0.18008332596340804,-2.8462309510981143
128481.3796862766,0.010616057247851363,-0.17275103677821502,0.04245861448784605,-0.6799844007316784,0.1698569158700518,-2.7645479013153142
132307.81007055982,0.010013070779660647,-0.16778918014557231,0.04004698866611131,-0.6604644854155287,0.16020913237322332,-2.6851740188402626
136248.1991430318,0.009444216749778862,-0.16296772058539644,0.037771874352933985,-0.641496949029012,0.15110746788898644,-2.608046960793123
140305.94081951265,0.008907575975869352,-0.1582828503827748,0.035625595858991346,-0.623066834869417,0.1425212154999369,-2.5331058177714123
144484.5300933678,0.008401335760681368,-0.15373085070337544,0.03360090337601679,-0.605159534060494,0.13442137205003846,-2.460291102880058
148787.56604580002,0.007923784141635054,-0.14930809077176577,0.0316909499785203,-0.5877607824952151,0.12678054613798972,-2.3895447385969177
153218.75494578973,0.007473304433340669,-0.14501102693068635,0.029889269797051015,-0.5708566572959503,0.11957287079753032,-2.3208100417340116
157781.91344236085,0.0070483700501240976,-0.14083620159609733,0.028189757311305862,-0.5544335728514681,0.1127739206578473,-2.2540317067314355
162480.9718519168,0.006647539595970961,-0.13678024212154027,0.02658664771273931,-0.5384782764851843,0.10636063338268242,-2.189155787500857
167319.97754348197,0.006269452209651527,-0.1328398595841349,0.025074498287735378,-0.5229778438040512,0.1003112351923301,-2.1261296780153813
172303.09842475862,0.005912823153167296,-0.12901184750344186,0.02364817077391406,-0.5079196737732179,0.0946051702787819,-2.064902091825843
177434.62653201056,0.005576439632043476,-0.1252930805033602,0.022302814643677928,-0.4932914835573299,0.08922303393040742,-2.005423040665967
182718.98172685556,0.00525915683639043,-0.12168051292633808,0.02103385127069845,-0.47908130316570535,0.0841465091889364,-1.9476438122951265
188160.7155031594,0.004959894192055149,-0.11817117740826188,0.019836958936635504,-0.46527746993505237,0.07935830686788348,-1.891516947712299
193764.51490730455,0.004677631811587795,-0.11476218342162614,0.018708058636995917,-0.4518686228802426,0.07484210876801056,-1.8369962178629535
199535.20657521478,0.004411407135149415,-0.11145071579382448,0.017643300646643413,-0.4388436969407396,0.07058251393185133,-1.7840365999485623
205477.76088960565,0.004160311751885085,-0.10823403320677139,0.0166390518070634,-0.42619191714755206,0.06656498778568176,-1.7325942534376164
211597.2962610525,0.003923488392679985,-0.10510946668338594,0.015691883499058402,-0.41390279273311764,0.0627758140236171,-1.682626495867229
217899.083536551,0.0037001280856038717,-0.10207441806598316,0.014798560266101112,-0.4019661112043134,0.05920204909472182,-1.634091778515554
224388.55053937755,0.0034894674657259712,-0.09912635849102691,0.013956029055080307,-0.3903719323966395,0.05583147916004949,-1.5869496620167194
231071.2867441538,0.0032907862313537872,-0.0962628268642689,0.013161409042657259,-0.37911058252576274,0.05265257939246287,-1.5411607919823762
