noise_pct,fault_change_pct,fault_section,repeat,predicted_section,full_location_correct,predicted_group,true_group,group_location_correct,full_true_section_amplitude_error_pct,group_true_amplitude_error_pct,delta_cps1_pct,delta_cps2_pct,delta_cps3_pct,delta_cps4_pct
0.05,5.0,1,67,1,1,1,1,1,1.2080643240856448,5.645299682133394,4.938129496006901,0.662064543052844,-0.7286441631686875,0.8308662561884468
0.05,5.0,1,68,1,1,1,1,1,15.204378659247796,14.513044061594115,5.7818115856488745,0.04773169684310165,0.05599306572013648,-0.26536235137712966
0.05,5.0,1,69,1,1,1,1,1,5.563371341435073,5.04896274698381,5.285396853379895,0.053049494199165985,0.04685781140734094,-0.12559950275824178
0.05,5.0,1,70,1,1,1,1,1,1.736799901467374,2.7085831548189367,5.089013399033564,-0.5701354851930165,0.2581097659538549,0.13193001315430206
0.05,5.0,1,71,1,1,1,1,1,14.851715281110101,10.873999398651975,5.763611799702894,-0.4132036884579733,0.28067247988300253,-0.10991222152901108
0.05,5.0,1,72,1,1,1,1,1,1.8032351920910152,7.140346715238529,4.907661477626213,-0.4095650939992175,0.5193271641416396,-0.6025165685747436
0.05,5.0,1,73,1,1,1,1,1,7.997411321890098,5.14317343925353,5.41050512631824,-0.0978721520053331,0.3196531246905182,-0.5778562130641545
0.05,5.0,1,74,1,1,1,1,1,0.52073032734576,4.354895539861533,4.973326544474478,0.4910383074796349,-0.5246839196387416,0.5962789089122793
0.05,5.0,1,75,1,1,1,1,1,2.7638746389757474,1.8132152294937198,5.141687903773718,-0.03219982817655805,0.06030559723406464,-0.06690534032929764
0.05,5.0,1,76,1,1,1,1,1,0.9858112082935311,4.196425730111991,5.050514932562019,-0.5705948346654198,0.38774921088011377,-0.02188326669046011
0.05,5.0,1,77,1,1,1,1,1,5.148718400935284,4.878102882271873,5.26409873497506,0.054308804777928925,0.004447637385190541,-0.08921663766435622
0.05,5.0,1,78,1,1,1,1,1,14.076921368458336,8.04497149188691,5.723638254344729,-0.4108881082278194,0.6188329082149425,-0.839192467564104
0.05,5.0,1,79,1,1,1,1,1,10.728294412368209,5.0410923044733496,4.4518289040278,0.47147812372751235,-0.6696232891558059,0.8306212618579837
0.05,5.0,1,80,1,1,1,1,1,11.550358607074271,5.2827793473395435,4.409943089147675,1.125998077512036,-0.3275870031134384,-0.814354096516897
0.05,5.0,1,81,1,1,1,1,1,9.46911127555611,3.2358126478596554,5.48622177458454,-0.5428906987361989,0.569603655890558,-0.49095449605157426
0.05,5.0,1,82,1,1,1,1,1,0.5728641412207759,0.842957793099528,4.970656458699016,0.5383756465642803,0.3329808415025667,-1.477101994525622
