case,n,method,scenario,budget,port_error_pct,node_voltage_error_pct,branch_current_error_pct,displacement_current_error_pct,solve_ms,c_keep,m_keep
0,4,learned_gate,joint,0.8,552.8344315098159,0.0008557938507790491,259.6018649201037,6.8316622142250125,4.161299999395851,0.8125,0.7857142857142857
0,4,learned_gate,C_only,0.9,7.494412746322421e-06,4.460196875451468e-06,7.203652651446533e-07,4.405293714719854,3.9569999999002903,0.875,1.0
0,4,learned_gate,M_only,0.9,2.5450887789499532,71.66890047626696,1.5691067131862568,59.79164941488159,3.6034499999004765,1.0,0.8928571428571428
0,4,learned_gate,joint,0.9,2.545089936337694,71.6688998722147,1.5691071939249541,59.82540885533828,4.020949999357981,0.875,0.8928571428571428
0,4,learned_gate,C_only,0.95,3.1581760066476237e-06,1.4588669654941229e-06,1.9552187344763744e-07,1.9235773797793758,5.630249999740045,0.9375,1.0
0,4,learned_gate,M_only,0.95,76.62435122282562,10.006339538882719,76.65159927346551,7.508165701800709,5.263299999569426,1.0,0.9642857142857142
0,4,learned_gate,joint,0.95,76.62435031898195,10.006339538843806,76.65159927346551,7.750658310996412,6.951899999876332,0.9375,0.9642857142857142
0,4,learned_gate,C_only,1.0,0.0,0.0,0.0,0.0,3.71149999955378,1.0,1.0
0,4,learned_gate,M_only,1.0,0.0,0.0,0.0,0.0,4.025500000352622,1.0,1.0
0,4,learned_gate,joint,1.0,0.0,0.0,0.0,0.0,3.8136500006658025,1.0,1.0
1,4,distance,C_only,0.4,1.4767507497647e-05,1.0946225993463358e-05,2.3909973451926666e-06,11.834840753047384,3.747599999769591,0.375,1.0
1,4,distance,M_only,0.4,97.1207007392473,6.259517899503707,97.29531540719314,6.609557245953444,3.3518999998705112,1.0,0.39285714285714285
1,4,distance,joint,0.4,97.12069861455834,6.2595720653576645,97.29531560742849,13.529044731578091,3.407100000003993,0.375,0.39285714285714285
1,4,distance,C_only,0.6,1.5937676690671617e-06,9.005125491636862e-07,1.9865252498816472e-07,1.2483094656340967,3.221000000849017,0.625,1.0
1,4,distance,M_only,0.6,98.62342061652647,5.732622203391127,98.57328126994467,6.775625419884361,3.936099999009457,1.0,0.6071428571428571
1,4,distance,joint,0.6,98.62342029068142,5.73262438797537,98.5732812754448,6.889165391917194,3.8562500003536115,0.625,0.6071428571428571
1,4,distance,C_only,0.8,2.9693091983779923e-07,3.7379137681064095e-07,8.291717407183562e-08,0.6208740991415563,3.2207499998548883,0.8125,1.0
1,4,distance,M_only,0.8,98.69908578725494,4.659182357379944,98.77901937160499,5.606381151878886,3.9644000007683644,1.0,0.7857142857142857
1,4,distance,joint,0.8,98.69908576950446,4.659184178689237,98.77901937551404,5.64066798908342,4.060149999531859,0.8125,0.7857142857142857
1,4,distance,C_only,0.9,7.115069286964787e-08,1.6608995432025815e-08,8.236807173493452e-09,0.09317471289095407,4.512900000008813,0.875,1.0
1,4,distance,M_only,0.9,98.48287545945657,5.199159208252836,98.43723549053584,5.4734345697216895,3.5678499998539337,1.0,0.8928571428571428
