frequency_hz,abs_zin_full_ohm,abs_zin_literature_ohm,abs_ips_full_a,abs_ips_literature_a
76442.22742525995,0.5192821875472616,0.5192821562592073,2.6721804866074113e-06,2.6721804871791416e-06
79432.82347242821,0.5395907977041356,0.5395907625980203,2.776717884543902e-06,2.7767178851853566e-06
82540.41852680189,0.5606942067730784,0.5606941673830002,2.885345188643384e-06,2.88534518936307e-06
85769.58985908946,0.5826235009794106,0.5826234567826732,2.9982224002644385e-06,2.9982224010719006e-06
89125.0938133746,0.6054109833074524,0.605410933717497,3.115515780525641e-06,3.1155157814315883e-06
92611.87281287937,0.6290902211158912,0.6290901654746478,3.2373980952072983e-06,3.2373980962237463e-06
96235.06263980888,0.6536960956198101,0.6536960331888845,3.36404886923357e-06,3.3640488703739997e-06
100000.0,0.6792648533127351,0.6792647832636103,3.4956546511099667e-06,3.495654652389504e-06
103912.2303835169,0.7058341594049952,0.7058340808081183,3.6324092877058513e-06,3.6324092891414688e-06
107977.51623277094,0.7334431533580358,0.733443065170367,3.7745142097867435e-06,3.7745142113974846e-06
112201.84543019629,0.7621325065966185,0.7621324076479008,3.922178728717127e-06,3.9221787305243575e-06
116591.4401179831,0.7919444824855342,0.7919443714626323,4.0756203447709225e-06,4.075620346798613e-06
121152.76586285901,0.82292299865948,0.8229228740891176,4.23506506750385e-06,4.235065069778899e-06
125892.54117941661,0.8551136917992116,0.8551135520282839,4.400747748659601e-06,4.400747751212186e-06
130817.74742601956,0.8885639849505297,0.8885638281242644,4.5729124281005314e-06,4.572912430964525e-06
135935.6390878524,0.9233231574867399,0.9233229815239771,4.751812693272177e-06,4.751812696485566e-06
141253.75446227554,0.9594424178186556,0.9594422203843213,4.937712052731612e-06,4.937712056337029e-06
146779.92676220674,0.99697497896138,0.9969747574354534,5.130884324289552e-06,5.130884328334831e-06
152522.29565390197,1.0359761370708525,1.0359758885136507,5.331614038338557e-06,5.33161404287736e-06
158489.3192461114,1.0765033530678558,1.0765030741808985,5.540196856960977e-06,5.540196862053528e-06
164689.78654828688,1.1186163374722602,1.1186160245546297,5.756940009434899e-06,5.756940015148755e-06
171132.8304161781,1.1623771385745167,1.1623767874736701,5.982162744778986e-06,5.982162751189959e-06
177827.94100389228,1.2078502340784862,1.2078498401351596,6.216196802003706e-06,6.216196809196849e-06
184784.97974222907,1.2551026263520793,1.2551021843385162,6.459386898761318e-06,6.459386906832074e-06
192014.19386388012,1.3042039414315936,1.3042034454821108,6.7120912391150116e-06,6.712091248170465e-06
199526.2314968879,1.3552265319284267,1.3552259754613798,6.974682041175273e-06,6.974682051335562e-06
207332.1573485954,1.4082455839944503,1.408244959625302,7.2475460853809385e-06,7.247546096780876e-06
215443.46900318866,1.4633392285103715,1.4633385279532933,7.531085284233148e-06,7.531085297023985e-06
223872.11385683378,1.5205886566646911,1.5205878706227907,7.825717274321449e-06,7.8257172886729e-06
232630.50671536286,1.5800782401011277,1.5800773581430239,8.131876031515076e-06,8.131876047617558e-06
241731.54808041014,1.6418956558193372,1.6418946662406775,8.450012510225398e-06,8.45001252829257e-06
