scenario,added_cps_pf,repeat,true_cps_pf,model_only_3p_cps_pf,model_only_3p_ls_uh,model_only_3p_rs_ohm,reconstructed_2p_cps_pf,reconstructed_2p_ls_uh,reconstructed_2p_cost_rms,reconstructed_3p_cps_pf,reconstructed_3p_ls_uh,reconstructed_3p_rs_ohm,reconstructed_3p_cost_rms,log_residual_3p,valid_frequency_count,median_excitation_condition,median_sigma_ratio
dielectric_loss,20.0,0,48.36,48.349061134181646,95.99786586876978,0.09963557770172125,48.33782452583672,95.99638197501947,0.00015972689240607136,48.33782846287183,95.9963816160663,0.09975564157906741,0.00015972215859669554,-0.0004585736385014798,2803,2.372818117228525,0.6491839516275277
dielectric_loss,20.0,1,48.36,48.39209746263945,95.99868441920461,0.098483729396278,48.412711346437675,95.99837682147466,0.00014122850530050957,48.41270973758827,95.99837660048807,0.09893766665714154,0.00014122483741873062,0.001089351387259776,2805,2.382832597484923,0.6478183321842166
dielectric_loss,20.0,2,48.36,48.39200755743538,95.998614210916,0.09865823001846458,48.442773365936944,95.99740155439599,0.00012938905126400887,48.442772231711125,95.99740138034012,0.09837452713284889,0.00012938610863053466,0.001710121517705795,2804,2.3762625621485123,0.648713290054316
dielectric_loss,20.0,3,48.36,48.34868600172817,95.99784248447976,0.09966490389979606,48.368699002103284,95.99515566972899,0.00015783769238931307,48.368704656030296,95.99515530227954,0.0999405465470555,0.00015783252578023608,0.00017998082543851498,2805,2.379717821472019,0.6482421532661911
dielectric_loss,20.0,4,48.36,48.39209079342195,95.99867828872438,0.09849187372002628,48.43174942396253,95.99881910357144,0.00013210550867691833,48.43174782971209,95.99881893839803,0.0984054515164426,0.00013210257586021256,0.0014825198317383226,2805,2.3756537066088015,0.6487964017198504
secondary_mode,0.0,0,28.36,27.408273438748548,96.10111558490458,0.2834868551503784,27.42938543011534,96.09799614874076,0.0006228084022830878,27.429840127628054,96.09796577816739,0.2832553521596189,0.0006209113457804725,-0.033348225108065885,2805,2.3705505515490617,0.6494943679961601
secondary_mode,0.0,1,28.36,27.408502854805004,96.10133501620902,0.28289197981949427,27.414588624957915,96.09933778747474,0.0006211961240945289,27.41502593610108,96.09930775986646,0.283176347536238,0.0006192957423241905,-0.03388844675324371,2805,2.3714200569564228,0.6493752852044635
secondary_mode,0.0,2,28.36,27.408461754645394,96.10119413750343,0.2833782114710942,27.412517256431922,96.10027735221095,0.0006233500050418413,27.41296327811325,96.10024659262075,0.28346107719665903,0.0006214491081423859,-0.033963687812358444,2803,2.3776556153197497,0.6485232114671445
secondary_mode,0.0,3,28.36,27.533597517039336,96.09586329266531,0.28008195122569574,27.522589041856452,96.0950897864884,0.000618399616053907,27.52296085180669,96.09506246718585,0.28011516020056937,0.0006165524440706222,-0.029959105294262278,2805,2.3757167265433017,0.6487877964477158
secondary_mode,0.0,4,28.36,28.485249086451233,96.0835743435355,0.2850428350668822,28.501376067367634,96.0823543806768,0.0006875752764350325,28.501482516891276,96.0823158342373,0.28509264328684153,0.0006858222898894608,0.004976402394317831,2804,2.3762664128714017,0.648712767811988
secondary_mode,2.5,0,30.859999999999996,30.531497645962443,96.08368462904271,0.28530381802179094,30.588699092094025,96.08060549280627,0.0006905455833855338,30.588970203987536,96.08056477853454,0.2852514298486187,0.0006887971821754915,-0.008821353804782554,2803,2.3753063698170593,0.6488438361531449
secondary_mode,2.5,1,30.859999999999996,30.530489446593716,96.08342175388475,0.2857144004380483,30.500827818869713,96.080938801792,0.0006977594218654293,30.501089865983243,96.08089766473466,0.28576717909828897,0.0006960197507803882,-0.011698430649142305,2803,2.3736096339789268,0.649075702400579
secondary_mode,2.5,2,30.859999999999996,30.512569583621342,96.08537632667033,0.28528398738150307,30.52510123229375,96.08241402767467,0.0006882502082650703,30.525367286505396,96.0823728590284,0.2855292207061914,0.0006864920967214536,-0.010902794692684997,2806,2.377420461548268,0.6485552844165353
secondary_mode,2.5,3,30.859999999999996,30.532444550393127,96.08403403300554,0.285343301671715,30.51329917270293,96.08349522850514,0.0006848201659444079,30.513561291794947,96.08345491856252,0.28526629805882653,0.000683058085795017,-0.011289629623528369,2805,2.3774823553452746,0.6485468417304275
secondary_mode,2.5,4,30.859999999999996,30.401025671083467,96.10591728285335,0.2846970700219067,30.332781169061427,96.1064637989292,0.0006473396941451654,30.333144555275656,96.10641859545487,0.28491899499774953,0.0006454808282887439,-0.017219852558091067,2803,2.3759689272954243,0.6487533622615964
secondary_mode,5.0,0,33.36,32.72651004875144,96.09217130063438,0.28247090931124375,32.684696621108195,96.08992460467185,0.000652167552657341,32.68510726272676,96.08988596840017,0.28232718644270416,0.0006503739115620793,-0.020438038720154587,2806,2.3763471568166357,0.6487017489023542
secondary_mode,5.0,1,33.36,32.71033015759119,96.09303184863825,0.2829541760860038,32.541566996171504,96.09779708270918,0.0006563877542778733,32.54192442600718,96.0977551234575,0.2831714133505545,0.0006545895339270992,-0.024828337128546946,2805,2.375660910782362,0.648795417984039
